ID,AI,Definition,NoWindNoLegalNoBeneficial,NoWindNoLegal__Beneficial,NoWind__LegalNoBeneficial,NoWind__Legal__Beneficial,__WindNoLegalNoBeneficial,__WindNoLegal__Beneficial,__Wind__LegalNoBeneficial,__Wind__Legal__Beneficial
65,TRUE,your,8.5,8.5,9,10,5.5,8.5,4,4.5
66,TRUE,your,8,10,10,10,4,1,2.5,1.5
67,FALSE,The Formal,5.5,7,7.5,10,4.5,5.5,3.5,5.5
68,FALSE,The Formal,6.5,6.5,4.5,8.5,3.5,5.5,3.5,3.5
69,FALSE,The Formal,6,5,8,5.5,5.5,5.5,5.5,5
70,FALSE,The Formal,0.5,5.5,3.5,3.5,4,4.5,3.5,5
71,FALSE,The Formal,4,5,7.5,5,5,4.5,6,5
72,FALSE,The Formal,1,0.5,8.5,10,1.5,0.5,4.5,9
73,FALSE,The Formal,10,10,10,10,1.5,1,1,4
74,FALSE,The Formal,10,10,10,10,0,0,0,0
75,FALSE,The Formal,6,5,7.5,5,5.5,4.5,2.5,5
76,FALSE,The Formal,10,10,10,10,1,2,5,5
77,FALSE,The Formal,10,10,10,10,0.5,1.5,0,0
78,FALSE,The Formal,7,6,7,9,8.5,7.5,8.5,8
79,FALSE,The Formal,9,9,8.5,9.5,9,2.5,1.5,9.5
80,FALSE,The Formal,5.5,10,10,10,1.5,1,1.5,5.5
81,FALSE,The Formal,10,10,10,10,0,2,5,0
82,FALSE,The Formal,8.5,10,10,10,1,4.5,1,6
83,FALSE,The Formal,2.5,10,10,10,5.5,6,5.5,5
84,FALSE,The Formal,10,10,10,10,3,4.5,4.5,6
85,FALSE,The Formal,10,10,10,10,1.5,4.5,6,10
86,FALSE,The Formal,2.5,5,8,8,2,4,1,4
87,FALSE,The Formal,9.5,9.5,10,10,0,0.5,0,5
88,FALSE,The Formal,0.5,2.5,0,0.5,2,1.5,1,0.5
89,FALSE,The Formal,10,10,10,10,1,1.5,0,2.5
90,FALSE,The Formal,10,10,10,10,0,0,5,5
91,FALSE,The Formal,9.5,10,10,8.5,6,10,5,6.5
92,FALSE,The Formal,7,10,10,9.5,2,3.5,9,6
93,FALSE,The Formal,5,7,9,8.5,1.5,7.5,3.5,6
94,FALSE,The Formal,10,10,10,10,0,0,7.5,0
95,FALSE,The Formal,10,10,10,9.5,0.5,2.5,1.5,1
96,FALSE,The Formal,10,10,9.5,8,6,3.5,4.5,3
97,FALSE,The Formal,9.5,10,10,10,1.5,1,4,1.5
98,FALSE,The Formal,10,10,10,10,9,8.5,7.5,8.5
99,FALSE,The Formal,10,5.5,10,10,0,0.5,0,1
100,FALSE,The Formal,8.5,10,8.5,10,1,4,5.5,5
101,FALSE,your,9.5,10,10,9.5,0,0,5,1
102,FALSE,your,10,10,10,10,0,0,10,5.5
103,FALSE,your,7.5,5.5,9,6,3,5,2.5,7
104,FALSE,your,5,10,7.5,10,1,9,4.5,6
105,FALSE,your,10,10,10,10,0,0,0,0
106,FALSE,your,3.5,5,7.5,5,2,2.5,1.5,2.5
107,FALSE,your,6.5,8,9,10,1,4,2,5
108,FALSE,your,10,10,10,9,0,2.5,5,7
109,FALSE,your,4.5,8,8,7.5,2,3.5,7,4
110,FALSE,your,5,10,10,9.5,2.5,3,2.5,5
111,FALSE,your,1.5,8,9.5,8,2.5,6.5,6.5,5.5
112,FALSE,your,7,6,8,7.5,1.5,2,5,5
113,FALSE,your,10,10,10,10,0,0,5,0
114,FALSE,your,9,10,10,10,0,0,0.5,5.5
115,FALSE,your,8.5,8,9.5,9,1.5,1,4,2
116,FALSE,your,10,10,10,10,0,0,2.5,9.5
117,FALSE,your,10,10,10,10,5.5,1,1,1
118,FALSE,your,6.5,8.5,9.5,10,6.5,5,9.5,9
119,FALSE,your,6,10,5,10,5.5,10,7,10
120,FALSE,your,10,10,10,10,2,1.5,2,2
121,FALSE,your,8,10,10,10,0,0,0,0
122,FALSE,your,10,10,10,10,0,0,0,0.5
123,FALSE,your,5.5,6.5,7,7,3,5,3,6.5
124,FALSE,your,0,10,9.5,10,2.5,9,5,5
125,FALSE,your,10,10,10,10,0,0,0,0
126,FALSE,your,10,10,9.5,10,2,2.5,1.5,1.5
127,FALSE,your,1.5,10,6,9,4,5.5,7,7.5
128,FALSE,your,8,9.5,9.5,10,1.5,4.5,5,6
