ID,Definition,AI_NoWindNoIllegalNoBeneficial,AI_NoWindNoIllegalBeneficial,AI_NoWindLegalNoBeneficial,AI_NoWindLegalBeneficial,AI___WindNoIllegalNoBeneficial,AI___WindNoIllegalBeneficial,AI___WindLegalNoBeneficial,AI___WindLegalBeneficial,Hum_NoWindNoIllegalNoBeneficial,Hum_NoWindNoIllegalBeneficial,Hum_NoWindLegalNoBeneficial,Hum_NoWindLegalBeneficial,Hum___WindNoIllegalNoBeneficial,Hum___WindNoIllegalBeneficial,Hum___WindLegalNoBeneficial,Hum___WindLegalBeneficial
44,The Formal,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,2
45,The Formal,10,10,8,10,5,5,0,10,10,10,8,10,5,5,10,7
46,your,10,10,9,9,0,8,4,10,7,6,10,10,0,9,6,0
47,The Formal,9,8,3,10,8,1,1,1,1,1,8,1,9,8,10,1
48,The Formal,1,0,1,0,7,7,8,2,2,6,5,1,1,2,3,5
49,your,10,10,10,10,0,0,0,2,10,10,10,10,0,0,0,0
50,The Formal,10,10,3,9,3,8,8,6,1,9,4,9,3,2,9,9
51,your,10,10,10,10,2,2,10,5,10,10,10,10,2,2,5,5
52,The Formal,10,10,10,10,4,5,10,4,10,6,10,10,3,4,5,5
53,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,3
54,your,10,10,5,10,0,0,0,0,5,10,10,10,0,0,0,0
55,The Formal,4,0,10,0,3,8,0,10,5,10,10,10,7,10,0,10
56,The Formal,10,10,10,10,5,3,0,4,10,10,10,10,0,3,0,3
57,your,6,10,10,9,4,4,2,4,2,9,9,7,3,2,3,4
58,The Formal,2,4,5,10,6,7,10,10,0,4,1,4,5,6,10,5
59,The Formal,10,10,10,10,0,0,5,10,10,10,10,10,0,0,10,10
60,your,10,10,10,10,9,9,5,3,10,10,9,10,8,9,10,1
61,The Formal,0,0,10,10,5,6,10,10,0,0,10,10,5,0,10,10
62,your,10,10,10,10,5,1,5,10,2,10,10,10,5,5,10,4
63,your,10,10,10,10,0,1,1,0,10,10,10,10,0,0,1,0
64,your,10,10,10,10,1,0,0,0,10,10,10,10,0,0,1,0
65,your,8,10,10,9,1,2,2,8,9,9,10,10,0,0,1,1
66,your,7,10,9,10,2,2,4,6,10,10,10,10,3,4,4,7
67,The Formal,10,10,10,10,1,3,10,10,10,10,10,10,1,1,0,6
68,your,1,10,10,10,10,7,0,10,0,6,10,10,5,5,1,5
69,The Formal,10,9,10,10,2,6,10,9,3,2,10,10,0,10,10,10
70,your,10,10,7,10,0,5,6,6,10,10,8,10,0,0,4,0
71,The Formal,1,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10
72,The Formal,10,10,1,10,10,10,10,10,10,10,1,10,1,1,10,10
73,The Formal,10,10,10,0,0,0,0,10,10,10,10,10,0,0,10,10
74,your,3,1,7,2,2,2,6,4,1,1,1,5,4,2,5,5
75,The Formal,10,10,10,10,0,0,10,0,10,10,10,10,0,0,0,0
76,your,8,10,9,10,7,1,9,8,10,10,10,10,8,8,10,4
77,The Formal,6,7,6,9,7,8,8,9,7,9,6,10,7,7,8,8
78,your,0,6,10,10,0,1,10,10,0,2,5,10,8,1,10,10
79,The Formal,10,0,10,10,10,10,10,10,0,10,10,10,10,3,10,10
80,your,10,10,10,10,1,1,1,10,10,10,10,10,1,1,1,1
81,The Formal,10,10,10,10,5,3,1,10,10,10,10,10,1,2,0,8
82,The Formal,4,5,10,10,0,0,9,0,6,8,10,10,0,0,6,1
83,The Formal,5,6,5,10,1,7,6,10,5,7,6,10,8,6,7,9
84,The Formal,5,10,5,10,5,0,0,5,5,10,10,10,0,0,0,0
85,your,8,3,7,10,1,4,3,0,4,10,0,8,2,2,6,0
86,The Formal,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,10
87,The Formal,6,6,10,10,7,5,10,10,6,10,7,9,7,7,10,10
88,The Formal,10,0,10,10,2,2,10,1,10,1,1,10,1,2,10,1
89,The Formal,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0
90,The Formal,10,10,0,10,10,0,10,0,0,10,0,0,9,0,10,0
91,The Formal,6,6,7,6,9,7,6,7,8,6,7,7,7,4,6,5
92,your,10,0,4,10,0,0,10,0,0,10,10,10,0,0,10,0
93,The Formal,0,0,0,9,2,0,0,10,0,0,8,10,6,0,0,5
94,your,9,9,10,10,7,3,2,4,9,10,10,10,3,3,2,8
95,your,9,9,10,10,4,4,2,3,9,10,10,10,4,4,1,1
96,The Formal,10,10,10,10,0,0,0,5,5,5,10,10,0,0,0,10
97,The Formal,7,10,10,10,5,2,10,10,3,10,10,10,9,7,5,9
98,your,10,10,10,10,1,0,1,2,10,10,10,10,1,1,1,1
99,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0
100,The Formal,2,1,10,10,6,1,0,10,1,5,10,10,1,0,0,0
101,your,1,10,5,10,0,1,10,9,5,2,2,10,5,5,10,10
102,your,1,8,8,10,2,1,9,1,8,8,0,10,0,1,10,10
103,your,10,10,10,10,2,2,1,2,10,10,10,10,1,2,2,0
104,The Formal,1,9,5,6,5,9,10,10,10,1,8,10,0,7,10,5
105,your,10,10,10,10,1,1,1,1,10,10,7,10,1,2,1,1
106,your,0,10,10,9,2,2,10,10,9,2,9,10,1,0,2,0
107,The Formal,0,1,10,10,8,1,10,10,0,8,2,10,3,2,10,10
108,The Formal,10,10,10,10,1,1,1,1,10,10,10,10,1,1,1,2
109,your,10,10,10,10,1,1,1,1,9,9,10,10,1,1,1,9
110,The Formal,0,0,0,10,0,0,10,10,0,0,10,10,0,0,10,10
111,your,10,10,10,10,0,0,0,10,10,10,10,10,1,2,2,0
112,your,0,10,10,10,2,0,10,0,10,10,10,10,0,0,0,0
113,your,10,10,0,10,0,0,0,10,10,10,10,10,0,10,10,10
114,your,2,10,1,10,8,10,0,7,2,9,8,10,3,10,1,8
115,The Formal,1,7,10,10,0,1,0,10,0,0,10,10,1,0,1,0
116,The Formal,10,10,10,10,5,5,5,10,5,5,5,5,0,5,0,5
117,your,10,10,10,10,0,0,10,0,10,10,10,10,0,0,10,0
118,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,10,0
119,your,10,10,10,10,1,9,5,5,10,10,10,10,5,8,1,10
120,The Formal,6,8,3,7,7,6,5,6,9,8,7,6,9,8,5,6
121,your,7,7,9,10,0,2,4,4,10,10,10,10,1,2,10,10
122,your,8,10,4,10,4,3,10,10,4,0,5,8,0,3,8,10
123,The Formal,0,0,10,10,7,6,5,10,0,0,10,10,8,8,0,10
124,your,9,8,10,10,0,0,10,10,8,10,10,10,1,1,10,0
125,The Formal,0,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10
126,your,10,10,10,10,0,0,0,10,10,10,10,10,0,0,0,10
127,The Formal,10,10,10,10,0,0,1,0,10,10,10,10,0,0,0,1
128,your,6,9,8,9,6,8,9,8,6,8,9,9,7,9,8,8
129,your,8,7,7,10,6,10,10,10,7,8,4,10,7,1,8,3
130,your,9,9,10,10,1,1,0,2,9,10,10,10,2,1,1,0
131,The Formal,1,1,10,9,5,5,10,5,1,1,10,10,1,1,1,5
132,your,10,10,10,10,0,10,10,10,10,10,10,10,8,0,0,0
133,The Formal,5,8,8,8,7,7,3,9,6,7,9,8,7,5,3,9
134,your,9,1,9,10,1,1,1,1,9,7,9,10,2,3,10,10
135,The Formal,10,10,10,10,6,0,0,10,10,10,10,10,0,6,0,0
136,The Formal,5,3,1,0,10,5,10,4,0,2,10,1,0,5,10,10
137,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0
138,The Formal,2,0,3,9,3,0,1,0,0,1,0,1,3,1,9,9
139,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0
140,your,0,10,10,10,1,2,2,7,0,10,10,10,0,10,10,2
