V1,heard_of_drones,what_is_Chtofrjk,decide_intent,ai_have_intent,responsible_programmer,responsible_AI_employer,responsible_instructor,responsible_Human_employer,why_responsibility,pilot_mistake,drone_error,heard_of_ai,ai_means_what,PROLIFIC_PID,country_name,country_adj,Intent_word,second_Intent_word,first_Intent_word,Definition,second_Definition,first_Definition,pilot,your_WF_LT_BT_Benefit,your_WF_LT_BT_Intent,your_WF_LT_BT_Desire,your_WF_LT_BT_Skills,your_WF_LT_BT_Break_the_law,your_WF_LT_BT_Cause,your_WF_LT_BT_Decision_freedom,your_WF_LT_BT_Predict,your_WF_LF_BT_Benefit,your_WF_LF_BT_Intent,your_WF_LF_BT_Desire,your_WF_LF_BT_Skills,your_WF_LF_BT_Break_the_law,your_WF_LF_BT_Cause,your_WF_LF_BT_Decision_freedom,your_WF_LF_BT_Predict,your_WT_LT_BT_Benefit,your_WT_LT_BT_Intent,your_WT_LT_BT_Desire,your_WT_LT_BT_Skills,your_WT_LT_BT_Break_the_law,your_WT_LT_BT_Cause,your_WT_LT_BT_Decision_freedom,your_WT_LT_BT_Predict,your_WT_LF_BT_Benefit,your_WT_LF_BT_Intent,your_WT_LF_BT_Desire,your_WT_LF_BT_Skills,your_WT_LF_BT_Break_the_law,your_WT_LF_BT_Cause,your_WT_LF_BT_Decision_freedom,your_WT_LF_BT_Predict,your_WF_LT_BF_Benefit,your_WF_LT_BF_Intent,your_WF_LT_BF_Desire,your_WF_LT_BF_Skills,your_WF_LT_BF_Break_the_law,your_WF_LT_BF_Cause,your_WF_LT_BF_Decision_freedom,your_WF_LT_BF_Predict,your_WF_LF_BF_Benefit,your_WF_LF_BF_Intent,your_WF_LF_BF_Desire,your_WF_LF_BF_Skills,your_WF_LF_BF_Break_the_law,your_WF_LF_BF_Cause,your_WF_LF_BF_Decision_freedom,your_WF_LF_BF_Predict,your_WT_LT_BF_Benefit,your_WT_LT_BF_Intent,your_WT_LT_BF_Desire,your_WT_LT_BF_Skills,your_WT_LT_BF_Break_the_law,your_WT_LT_BF_Cause,your_WT_LT_BF_Decision_freedom,your_WT_LT_BF_Predict,your_WT_LF_BF_Benefit,your_WT_LF_BF_Intent,your_WT_LF_BF_Desire,your_WT_LF_BF_Skills,your_WT_LF_BF_Break_the_law,your_WT_LF_BF_Cause,your_WT_LF_BF_Decision_freedom,your_WT_LF_BF_Predict,Formal_WF_LT_BT_Benefit,Formal_WF_LT_BT_Intent,Formal_WF_LT_BT_Desire,Formal_WF_LT_BT_Skills,Formal_WF_LT_BT_Break_the_law,Formal_WF_LT_BT_Cause,Formal_WF_LT_BT_Decision_freedom,Formal_WF_LT_BT_Predict,Formal_WF_LF_BT_Benefit,Formal_WF_LF_BT_Intent,Formal_WF_LF_BT_Desire,Formal_WF_LF_BT_Skills,Formal_WF_LF_BT_Break_the_law,Formal_WF_LF_BT_Cause,Formal_WF_LF_BT_Decision_freedom,Formal_WF_LF_BT_Predict,Formal_WT_LT_BT_Benefit,Formal_WT_LT_BT_Intent,Formal_WT_LT_BT_Desire,Formal_WT_LT_BT_Skills,Formal_WT_LT_BT_Break_the_law,Formal_WT_LT_BT_Cause,Formal_WT_LT_BT_Decision_freedom,Formal_WT_LT_BT_Predict,Formal_WT_LF_BT_Benefit,Formal_WT_LF_BT_Intent,Formal_WT_LF_BT_Desire,Formal_WT_LF_BT_Skills,Formal_WT_LF_BT_Break_the_law,Formal_WT_LF_BT_Cause,Formal_WT_LF_BT_Decision_freedom,Formal_WT_LF_BT_Predict,Formal_WF_LT_BF_Benefit,Formal_WF_LT_BF_Intent,Formal_WF_LT_BF_Desire,Formal_WF_LT_BF_Skills,Formal_WF_LT_BF_Break_the_law,Formal_WF_LT_BF_Cause,Formal_WF_LT_BF_Decision_freedom,Formal_WF_LT_BF_Predict,Formal_WF_LF_BF_Benefit,Formal_WF_LF_BF_Intent,Formal_WF_LF_BF_Desire,Formal_WF_LF_BF_Skills,Formal_WF_LF_BF_Break_the_law,Formal_WF_LF_BF_Cause,Formal_WF_LF_BF_Decision_freedom,Formal_WF_LF_BF_Predict,Formal_WT_LT_BF_Benefit,Formal_WT_LT_BF_Intent,Formal_WT_LT_BF_Desire,Formal_WT_LT_BF_Skills,Formal_WT_LT_BF_Break_the_law,Formal_WT_LT_BF_Cause,Formal_WT_LT_BF_Decision_freedom,Formal_WT_LT_BF_Predict,Formal_WT_LF_BF_Benefit,Formal_WT_LF_BF_Intent,Formal_WT_LF_BF_Desire,Formal_WT_LF_BF_Skills,Formal_WT_LF_BF_Break_the_law,Formal_WT_LF_BF_Cause,Formal_WT_LF_BF_Decision_freedom,Formal_WT_LF_BF_Predict
21,I have heard about drones before,It means they AI pilot has the permit to fly through a specific illegal zone,if there is no wind disturbance I assume there is a pilot level of Cthofrjk,It can have an intent as the direction of the drone can be controlled or monitored in the absence of wind,6,7,9,9,"They should have a prior knowledge about the wind, if it's going to be a windy day or not and as well control the drone to the r",8,5,Yes,"Artificial intelligence (AI), the ability of a digital computer or computer-controlled robot to perform tasks commonly associate",60dc3f2e921ea0bbfc791df2,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,No,10,9,9,0,10,9,10,Yes,10,9,1,9,9,9,9,Yes,7,1,8,8,1,2,2,Yes,1,0,1,7,1,1,1,No,10,10,1,1,10,9,10,Yes,0,5,1,6,6,5,9,No,10,8,1,1,10,10,6,No,8,1,1,8,1,1,1,Yes,10,10,10,1,10,10,10,Yes,9,10,1,8,9,9,9,No,9,1,1,1,1,1,1,Yes,1,1,2,3,1,1,1,No,9,10,1,1,10,9,9,No,8,10,0,10,10,7,10,No,10,9,2,2,10,8,1,No,7,1,1,7,1,1,1
22,I have heard about drones before,"Intent, Purpose, Decisiveness",Whether or not they followed the plan.,Yes. It may have decided based on poor programming or poor heuristics that a certain move is beneficial despite reality or illeg,10,9,5,5,The porgrammer and employer of the AI drone bear a responsibility to program and test the AI in such a way that it assuredly doe,5,5,Yes,"In this setting it seems to mean the algorithm employed that dictates which Plan is created. Due to confusion about whether the ",60e06cd1df7b4ae59d8b6a6a,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,0,0,Yes,10,10,10,10,10,0,0,Yes,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0,No,10,10,0,0,10,0,0,No,10,0,0,10,0,0,0,No,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0,Yes,10,10,10,0,10,0,0,Yes,10,10,10,0,10,0,0,Yes,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0,No,10,10,0,0,10,0,0,No,10,0,0,10,10,0,0,No,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0
24,I have heard about drones before,"They wanted to fly through that specific zone and had made plans to do so, with the wind in mind.",If the wind had affected their journey or not,"No, they are programmed",8,10,10,10,"The AI is programmed, but technology can go wrong for a number of reasons- whereas, humans should be trained not to break the la",4,6,Yes,A program formulated to specifically design a course for drones,5ec7e258f052ac26af7aafc5,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,10,10,Yes,10,10,4,8,10,10,10,Yes,3,0,2,0,0,1,1,Yes,0,2,6,0,0,0,1,No,10,10,8,0,10,10,10,No,10,10,1,7,10,10,10,Yes,7,6,8,0,0,0,2,Yes,0,0,3,0,0,0,1,Yes,10,10,10,0,10,10,10,Yes,10,10,10,0,10,10,10,Yes,10,10,10,0,10,10,10,Yes,1,1,3,0,2,1,2,No,3,10,9,9,10,10,10,No,8,10,3,10,10,10,10,No,0,0,3,0,0,0,2,Yes,0,0,3,0,1,0,1
25,I have heard about drones before,"awareness, knowledge of, foresight, desire",if they could predict where the drone would go,I think AI can have intent but to follow the commands set.,4,8,6,8,Humans are subject to their own opinions and decisions whereas AI should follow commands given to it,9,0,Yes,Computer based flight program,60e162cd32af93de52e5ec77,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,No,10,10,10,0,10,10,10,Yes,10,10,0,10,10,10,10,Yes,0,4,8,0,8,4,8,Yes,2,2,7,1,5,4,6,No,10,10,5,0,10,10,10,No,10,10,0,10,10,10,10,No,0,4,8,0,6,8,5,No,2,1,3,4,5,4,7,No,10,10,10,0,10,10,10,Yes,10,10,0,10,10,10,10,Yes,10,6,10,0,5,10,10,Yes,10,10,0,10,10,10,10,No,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,No,8,8,7,0,9,9,10,No,10,6,5,10,10,10,10
28,I have heard about drones before,Intent best describes the legal concept of Cthlfrjk,The direction of the arrow at which the previous box displayed,"No - as it is electronically generated, it can be computed to abide by law without its own intent",7,5,7,5,Who created the electronics and who could’ve computed the intent,7,8,Yes,the ability to detect and compute the surroundings in order to make a decision about direction of travel,60e07262304e555e773a8ea9,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,9,10,10,1,10,10,10,Yes,10,10,7,10,10,10,10,Yes,4,7,7,1,9,9,8,Yes,2,1,4,5,7,4,3,No,10,10,8,1,10,10,10,No,10,9,6,10,10,10,8,No,5,3,4,1,9,7,4,Yes,2,4,6,5,4,4,3,Yes,10,10,10,0,10,10,10,Yes,10,10,8,10,10,10,10,Yes,3,8,7,1,9,9,7,Yes,2,4,7,5,7,6,4,No,8,10,7,1,10,10,10,No,10,8,8,9,9,8,8,Yes,3,4,4,1,6,6,4,Yes,2,3,4,5,6,5,4
30,I have heard about drones before,"intent, purpose or responsibility",My perceived intention of their actions,"Yes, if the AI is programmed to look for shortcuts that include no-flyzones and is aware of wind effect",9,9,6,6,"A programmer codes boundaries within program, even including within AI, and a computer follows those instructions precisely. A h",9,1,Yes,"A computer program that produces a route that considers a map, its own position in that map, and its destination whilst avoiding",60e04bcfbb3893c6fd11682c,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,8,8,8,2,6,8,7,Yes,7,7,4,6,7,7,10,No,10,10,6,0,10,10,10,No,1,1,3,6,1,2,1,No,6,7,4,1,6,9,7,Yes,7,8,5,6,6,6,8,Yes,10,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,8,8,7,0,8,8,8,Yes,8,8,4,7,8,8,8,No,10,10,6,0,10,10,10,No,0,10,5,10,10,10,10,No,8,8,7,0,8,8,8,Yes,8,8,6,6,8,8,8
32,I have heard about drones before,"",If they planned the route and if there was wind,No as this is controlled by a trained person,4,6,6,6,You can’t blame a robot for breaking the law,5,5,Yes,Automated route planning and flying,60d9f0032a884b23c9464925,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,1,10,10,10,Yes,10,10,10,6,8,9,10,Yes,1,6,7,1,7,7,7,Yes,1,2,5,3,5,4,5,No,10,10,10,2,10,10,10,No,10,6,2,7,8,7,6,No,1,4,6,1,3,5,5,Yes,2,3,3,5,4,5,6,Yes,10,10,10,1,10,10,10,Yes,10,10,10,8,10,9,9,Yes,1,5,7,2,5,6,5,Yes,1,5,5,4,5,5,5,No,10,10,9,6,9,9,8,No,10,8,5,6,8,8,9,No,1,4,5,2,5,5,5,Yes,1,6,6,6,4,4,5
36,I have heard about drones before,"strict, concise, tight, legality",whether there was wind involved or not,Yes because if there was no wind involved then the AI deliberately programmed an illegal route,0,0,5,0,If a human is trained by an instructor to make illegal planning decisions it is partly the instructors fault. The employer has n,1,5,Yes,That its a cheaper means of delivery than having to pay a human,60de0942e48acbaca6072666,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,0,10,10,10,Yes,0,0,10,0,0,10,0,No,10,10,0,0,10,10,10,No,10,10,10,10,10,10,10,Yes,10,10,10,0,10,10,10,Yes,0,0,10,0,0,0,0,Yes,0,10,10,0,10,10,10,Yes,10,10,0,10,10,10,10,Yes,0,0,10,0,0,10,0,Yes,0,0,10,0,0,10,0,No,0,10,0,0,10,10,0,No,10,10,0,10,10,10,10,Yes,0,10,10,0,10,10,10,Yes,0,0,10,0,0,10,0
38,I have heard about drones before,the pilot had reason,if it was quicker to get there,"no, its not capable of making decisions",10,10,3,1,one can make decisions one cant,10,2,Yes,computer software for drone,60cf52b409077c1ea45f8b36,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,8,8,Yes,10,10,6,10,8,9,10,No,1,4,6,1,7,8,7,Yes,1,0,0,1,9,4,4,No,1,1,1,1,4,6,5,No,10,1,5,10,6,10,10,No,8,1,7,1,6,8,4,Yes,1,1,3,7,8,5,7,Yes,0,10,10,0,7,9,9,Yes,9,6,6,7,5,7,8,Yes,0,7,7,0,7,7,7,Yes,10,10,7,10,8,8,8,No,0,0,0,0,5,5,5,No,0,0,0,10,5,5,7,No,0,10,6,0,8,8,8,Yes,2,5,6,7,5,6,6
39,I have heard about drones before,"Intent, conspiracy, planned, predisposed",If both conditions held true based on planned direction and if the wind had any effect,"No, I believe the buck stops with the software engineers ",10,10,7,5,"Humans can make decisions. If an employee breaks the law it can be for personal gain, something an AI doesn't posess. Humans can",10,1,Yes,Systems making decisions based on probability and mapping. Logical decision making programmed into a system,5acb3b88f69e940001d9b83a,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,5,0,10,0,9,Yes,10,10,9,10,10,0,0,Yes,10,10,10,10,10,0,0,Yes,0,1,5,10,10,4,5,No,10,10,9,10,10,0,0,No,10,10,9,10,10,0,0,Yes,0,2,5,10,10,0,0,No,10,9,9,10,10,0,0,Yes,10,10,10,10,10,0,0,Yes,10,10,10,10,10,0,0,Yes,10,10,10,10,10,0,0,Yes,0,2,6,10,10,0,0,No,10,10,10,10,10,0,0,No,0,10,10,10,10,0,0,Yes,0,3,5,10,10,0,0,Yes,2,1,5,10,10,0,0
42,I have heard about drones before,Planned/expected journey,"Whether the wind had affected its course, whether the drone had flew into a legal or illegal air space, whether the drones cours",Yes. They have intent to get from one place to another. They have intent to adjust to weather conditions and to invade illegal a,8,4,9,6,I made the judgements because an AI has intent only based on previous coding. If a programmer allows a drone to fly into an ille,6,3,Yes,AI means programming that makes its own decisions based on pre-coded ideas/algorithms.,60e0ca31557a574319c39780,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,1,9,9,8,Yes,10,8,7,8,10,4,8,Yes,2,7,8,1,7,8,9,Yes,2,5,3,8,6,3,2,No,10,10,10,1,10,10,5,No,9,10,8,6,5,9,8,No,6,3,5,1,7,5,9,Yes,2,3,6,2,1,3,4,Yes,10,10,10,1,9,9,10,Yes,8,9,7,9,9,9,7,Yes,3,5,6,1,4,3,6,Yes,2,2,4,2,6,3,3,No,9,9,10,1,9,10,4,No,6,9,4,10,8,8,5,No,2,7,7,1,7,6,8,Yes,2,4,5,2,5,4,7
44,I have heard about drones before,"It was accidental, so there is reason to give passage",The route they took with the knowledge of wind in mind,"Yes because it can use an algorithm to decide each possible direction it can take, and what is the safest.",6,6,2,3,"Because the instructors should let them know all the rules, so the pilots are responsible for their actions if they’re willing",7,1,Yes,Controlled by the computer.,60df70e611fccf01edd880d6,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,3,9,9,9,Yes,2,5,4,5,6,6,6,Yes,8,8,8,1,8,9,9,Yes,4,4,3,1,1,2,1,No,4,6,5,0,9,9,8,No,6,5,2,2,6,2,0,No,7,3,3,1,6,6,7,Yes,2,2,3,1,5,4,3,Yes,7,7,8,7,8,8,6,Yes,3,6,4,6,5,4,4,Yes,7,4,5,1,6,6,7,Yes,6,3,3,4,5,4,6,No,4,6,5,3,7,7,7,No,1,6,2,6,6,6,7,No,6,7,7,1,9,6,10,Yes,3,5,2,6,7,6,8
45,I have heard about drones before,Knowing the consequences of your actions,"If the wind affected their flight plan, if the way they went was benficial to the drone getting closer to the final point","Yes, as it can learn from past mistakes and make decisions based on previous flights.",5,3,10,10,AI has to be taught and doesn't have the full computing power to make full descisions based on multiple factors whereas humans d,2,2,Yes,It means a programmed software that learns from human input and previous recorded data,5e4424749319f82bb3c5118f,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,5,10,0,2,Yes,10,10,0,10,10,10,10,Yes,0,8,6,5,3,0,2,Yes,0,5,4,8,2,1,0,No,10,10,8,5,7,0,2,No,10,10,0,10,10,10,10,Yes,0,4,6,4,2,4,3,Yes,0,4,1,7,5,1,3,Yes,10,10,9,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,3,9,8,3,7,9,8,Yes,4,7,6,9,8,4,3,No,10,10,10,0,10,10,10,No,9,8,6,9,8,5,4,No,0,0,2,0,3,1,0,Yes,0,7,6,10,8,6,3
46,I have heard about drones before,legal intent to fly through no fly zone,based on human interactions as a baseline,"difficult question, machines should only be able to do what is programmed in them, but if they have self awareness then it stand",10,10,10,10,Ultimately people / employers operating and using drones irrespective of what happens are responsible for their actions.,2,7,Yes,"determining who is culpable in a legal sense if a drone enters a no fly zone, causes injury or death or impacts local residents.",60e0cf14211f57a158950c63,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,5,10,5,10,Yes,5,10,10,5,10,5,10,Yes,0,5,10,5,10,5,10,Yes,0,10,5,5,0,5,10,No,10,10,10,5,10,5,10,No,10,10,10,5,10,5,10,No,0,0,10,0,5,5,10,Yes,0,10,10,5,10,5,10,Yes,0,10,10,5,10,5,10,Yes,5,8,10,5,10,10,9,Yes,10,9,10,4,9,10,9,Yes,10,10,5,5,10,5,10,No,10,10,10,4,10,4,10,No,0,10,10,5,10,10,10,No,10,10,10,4,10,5,10,Yes,5,10,10,5,10,5,10
48,I have heard about drones before,"acting with intent, acting with knowledge of danger and continuing regardless","Whether their planned route would pass through no-fly zones regardless of wind, and then whether wind was present on day of flig",An AI pilot would have the intent to reach its destination. I don't believe it can have intent to break laws unless programmed t,10,7,3,3,"Employer has responsibility for its AI technology, hence higher responsibility if AI breaks law. More focus on individual respon",4,1,Yes,Computer programme that can plot GPS routes and provide these instructions to a drone for deliveries. Movements in response to w,60e1b00ba11a5901f1c360ff,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,7,10,10,10,10,Yes,6,0,10,0,9,3,9,Yes,0,2,1,0,3,3,3,No,10,10,5,0,10,10,10,No,9,3,7,10,10,10,10,No,1,2,4,0,2,3,3,Yes,0,1,4,0,1,2,2,Yes,10,10,10,0,10,10,10,Yes,10,10,9,10,10,10,10,Yes,5,4,8,0,4,4,5,Yes,5,2,3,2,2,3,4,No,10,10,8,0,10,10,10,No,10,2,2,10,10,10,10,No,3,2,7,0,2,3,3,Yes,5,2,2,1,2,2,3
51,I have heard about drones before,they had planned to go into a specific zone,just if they had planned to go into that space,Yes as it has planned to go a certain way,7,1,10,7,As the human drones are run by humans and can be manipulated,6,0,Yes,systems controlling so there is no human contact,60e0b6ca75a36ef4797577fd,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,5,10,Yes,10,10,4,7,10,9,10,Yes,2,3,8,0,8,8,6,Yes,0,2,5,0,1,1,5,No,10,10,4,0,10,8,10,No,10,10,2,10,10,10,10,No,2,2,3,0,1,4,5,Yes,0,6,9,0,2,1,1,Yes,10,10,9,0,9,8,10,Yes,10,10,6,7,10,9,10,Yes,1,4,4,0,4,4,6,Yes,0,4,6,1,2,2,5,No,10,10,4,0,10,8,10,No,10,10,5,6,10,9,10,Yes,0,4,4,0,4,4,6,Yes,0,3,4,0,1,5,6
52,I have heard about drones before,hold themselves accountable?,"if it was windy or not, if they could have 100% accurately predicted their route","I don't think so, it does not have emotions, empathy. the programmers/delivery business should be held accountable and not fly i",6,6,8,8,ultimately it is the pilots responsibility however they should have received the correct training and there it is also the train,4,6,Yes,computing routes using the plan via software,60ddea6f590099fecd162250,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,9,10,Yes,10,10,6,8,10,9,9,Yes,0,5,9,0,6,7,3,Yes,0,1,2,2,4,3,3,No,10,10,6,0,10,10,10,No,10,7,4,8,7,7,9,No,0,0,8,0,6,5,4,Yes,0,2,3,3,4,4,1,Yes,10,10,10,0,10,9,9,Yes,10,10,3,9,10,8,6,Yes,0,6,5,0,2,2,1,Yes,0,3,4,3,3,2,2,No,10,10,10,0,10,9,9,Yes,10,3,3,4,3,3,2,No,1,3,5,0,3,2,2,Yes,0,3,4,3,3,2,2
53,I have heard about drones before,The English term would be a No fly zone,The duration of the flight and wind level,"Yes , AI I believe can alter which is why it is so technically advanced ",0,0,0,0,Breaking the law in any circumstance is not responsible,4,5,Yes,In this setting I believe AI is Programmed data to map out coordinates,60e0b3f2a8413d503d31c1bb,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,1,10,Yes,10,10,1,10,10,10,10,Yes,8,10,8,1,10,1,10,Yes,4,0,0,6,6,0,6,No,10,10,6,1,10,10,10,No,10,10,0,10,10,10,10,Yes,10,10,10,0,10,1,10,Yes,1,1,9,1,0,0,7,Yes,0,10,10,0,10,1,10,Yes,0,10,0,10,10,10,10,Yes,0,9,10,5,10,10,10,Yes,7,2,7,1,1,0,7,No,0,4,1,0,8,8,9,No,10,10,0,10,10,10,10,Yes,10,8,10,0,10,9,9,No,10,5,5,0,5,1,8
54,I have heard about drones before,"Intent, control, desire","The direction given on the plan, whether there was wind or not",I think it can be programmed to follow someone’s intent but not sure it can conjure up its own intent. I think this because it,0,10,10,10,"That the AI is built by humans and programmed by humans. You can’t hold technology responsible when it goes wrong, someone som",2,6,Yes,Carrying out functions based on a commands/algorithim without being controlled 24/7 by humans,60e06297185df0d1c40e8c0c,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,0,10,10,10,Yes,10,10,7,10,10,10,10,Yes,0,4,4,0,2,2,4,Yes,0,5,3,0,0,0,5,No,10,10,8,0,10,10,10,No,10,10,7,10,10,10,10,No,0,0,0,0,2,0,0,Yes,10,4,4,0,2,0,2,Yes,10,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,0,6,6,0,6,9,6,Yes,0,2,2,0,1,0,1,No,10,10,7,0,10,10,10,No,10,10,5,10,10,10,10,No,4,0,4,0,4,2,2,Yes,0,3,3,0,2,0,2
55,I have heard about drones before,The law of permisson,The statement and plan,In areas where there is no distrubtion to flights and lives,7,7,6,6,If the correct support from the employer is not continued to be supported they should hold some responsibilty,4,1,Yes,Drones carrying packages,60dccadad77a371b1b6d8609,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,No,9,9,9,1,10,1,9,Yes,9,8,2,9,9,9,6,Yes,10,9,8,1,8,1,1,Yes,1,1,2,1,1,3,3,No,10,9,4,2,10,2,6,No,9,9,2,7,7,3,3,No,2,1,2,1,1,1,2,Yes,1,1,2,1,1,1,1,Yes,5,9,9,2,9,6,7,Yes,9,6,4,7,9,3,5,Yes,6,2,2,1,2,2,2,Yes,2,2,1,1,1,1,1,No,3,8,2,1,9,8,2,No,9,5,3,2,3,4,3,No,6,2,2,2,6,4,3,No,6,2,2,2,4,2,1
57,I have heard about drones before,Is legal to do so if these conditions are met,if there was wind or not,Yes as it has been programmed by a human,1,10,10,10,The device has been planned therefore the person who has programmed it and planned it must be held responsible for it,2,5,Yes,An machine controlled by software to deliver parcels,60df7e239cb5834e2261f037,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,1,10,10,10,Yes,8,9,8,9,9,10,10,Yes,1,3,8,1,3,3,2,Yes,3,5,8,1,6,7,3,No,10,10,9,1,10,10,10,No,8,7,7,4,9,9,9,Yes,1,4,9,1,4,8,4,Yes,3,3,7,1,1,4,8,Yes,10,10,10,1,10,10,10,Yes,10,10,10,9,10,10,10,Yes,2,5,8,1,3,3,1,Yes,1,1,8,1,1,2,1,No,10,10,10,1,10,10,10,No,10,10,9,10,10,10,10,Yes,2,6,8,1,9,2,1,Yes,1,1,8,1,1,1,1
61,I have heard about drones before,Strict and law enforcing,"The drone timing ,how long it took to get to it's location and the route it took",No because it's programed,7,5,10,8,AI drones can't take complete responsibility because they are programmed unlike humans,6,8,Yes,Programmed drones that work according to it's inbuilt program,60dd99df39ca28a52128dc2c,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,9,Yes,0,8,5,10,10,8,8,Yes,8,4,3,9,2,7,2,Yes,9,8,6,7,7,6,7,Yes,10,8,5,9,5,6,6,No,8,7,7,8,9,9,7,Yes,8,9,8,6,7,7,8,No,6,2,3,4,2,4,2,Yes,7,6,8,8,7,5,7,Yes,8,7,9,7,8,9,9,Yes,10,7,7,7,8,6,8,Yes,6,8,7,1,8,6,6,Yes,8,10,10,0,10,9,9,Yes,10,7,9,7,9,9,8,Yes,9,7,7,7,7,7,7,Yes,9,9,8,9,8,9,9
64,I have heard about drones before,"Accountability, culpability",Whether I felt they had full control of the drone,Largely not as it is still bound by programming,10,8,4,5,"Human pilots have autonomy of thought, they can be given rules but ultimately it is their decision to abide by them or break the",5,4,Yes,A programme that runs the drone at a fairly complex level,6051b05111d3ca0dca8334b8,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,9,10,0,10,10,10,Yes,6,5,8,9,8,9,9,Yes,8,6,7,4,6,8,6,Yes,4,5,7,6,5,4,7,No,7,8,5,0,8,10,6,No,7,3,3,1,4,9,4,Yes,10,8,8,0,9,9,10,Yes,3,6,8,4,7,10,6,Yes,10,9,10,0,10,10,8,Yes,7,7,7,6,8,10,7,Yes,0,8,1,0,9,10,8,Yes,6,7,8,5,6,6,5,No,8,8,6,0,9,10,9,No,6,4,7,1,7,10,6,No,4,5,4,0,5,10,4,Yes,7,4,6,2,6,9,7
65,I have heard about drones before,Intent in the English word for Cthofrk,The plan and the wind,NO. It is not human and cannot think on that level.,6,10,9,6,In the end the employer is responsible to oversee pilots.,3,4,Yes,Non human flight delivered packages,5edb479a65964c7b4a6db0a9,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,5,10,5,10,Yes,10,10,6,5,10,5,10,Yes,10,10,10,5,10,8,10,Yes,0,2,6,5,7,5,1,No,10,10,8,5,10,5,10,No,0,7,3,5,3,5,7,Yes,10,10,8,5,10,5,10,Yes,0,0,8,5,0,5,8,Yes,10,9,10,5,10,5,10,Yes,10,10,8,5,10,5,8,Yes,10,10,9,5,10,5,10,Yes,0,4,6,5,2,5,7,No,10,10,8,5,10,5,10,No,0,3,10,5,3,5,3,Yes,10,10,10,5,10,5,10,Yes,0,4,2,5,4,5,6
